index,action,cost,probability,feature_arrival,feature_workload
720,1,-526,0.1,0.08,1000
721,6,496,0.1,0.05,0
722,4,-308,0.1,0.1,0
723,10,96,0.1,0.15,2000
724,6,-593,0.1,0.15,1000
725,4,-1216,0.1,0.2,0
726,9,-807,0.1,0.22,2000
727,3,-1505,0.1,0.22,2000
728,7,-1300,0.1,0.25,2000
729,9,-2148,0.1,0.38,3000
730,5,-2908,0.1,0.41,6000
731,9,-2537,0.1,0.42,4000
732,1,68627,0.1,0.46,4000
733,10,5160,0.1,0.39,28000
734,8,-3361,0.1,0.52,4000
735,5,-1963,0.1,0.59,6000
736,4,-2880,0.1,0.41,8000
737,5,-3278,0.1,0.43,3000
738,5,-2810,0.1,0.39,4000
739,8,-2341,0.1,0.36,6000
740,10,-970,0.1,0.26,5000
741,1,3770,0.1,0.15,3000
742,10,565,0.1,0.11,3000
743,3,-486,0.1,0.1,2000
744,5,-57,0.1,0.08,1000
745,6,494,0.1,0.05,0
746,9,532,0.1,0.1,0
747,7,-401,0.1,0.15,1000
748,2,-1044,0.1,0.15,2000
749,6,-940,0.1,0.2,1000
750,10,-599,0.1,0.22,1000
751,5,-1409,0.1,0.22,2000
752,2,-1862,0.1,0.25,3000
753,8,-2290,0.1,0.38,1000
754,5,-2992,0.1,0.41,5000
755,8,-2678,0.1,0.42,3000
756,4,-3344,0.1,0.46,3000
757,2,45162,0.1,0.39,6000
758,5,15583,0.1,0.52,25000
759,4,12330,0.1,0.59,6000
760,10,216,0.1,0.41,15000
761,7,-2910,0.1,0.43,3000
762,5,-2707,0.1,0.39,3000
763,10,-1814,0.1,0.36,2000
764,4,-1657,0.1,0.26,4000
765,10,24,0.1,0.15,2000
